LEMMA,DEFINITION,EXAMPLE,POS
viewpoint,a mental position from which things are viewed,we should consider this problem from the viewpoint of the Russians,n
canonically,in a canonical manner,the deacon was canonically inducted,r
plaguey,causing irritation or annoyance,a plaguey newfangled safety catch,s
commanding,used of a height or viewpoint,a commanding view of the ocean,s
long-range,suitable for or reaching long distances,long-range nuclear capability,s
sensory,involving or derived from the senses,sensory experience,a
spoken,uttered through the medium of speech or characterized by speech; sometimes used in combination,a spoken message,a
right,"precisely, exactly",stand right here!,r
dark,devoid of or deficient in light or brightness; shadowed or black,dark as the inside of a black cat,a
boggy,(of soil) soft and watery,the ground was boggy under foot,s
battalion,a large indefinite number,a battalion of ants,n
lone,characterized by or preferring solitude,a lonely existence,s
punctual,acting or arriving or performed exactly at the time appointed,she expected guests to be punctual at meals,a
thaw,the process whereby heat changes something from a solid to a liquid,the thawing of a frozen turkey takes several hours,n
hardening,the process of becoming hard or solid by cooling or drying or crystallization,the hardening of concrete,n
professional,engaged in a profession or engaging in as a profession or means of livelihood,the professional man or woman possesses distinctive qualifications,a
unpaid,engaged in as a pastime,unpaid extras in the documentary,s
incipient,only partly in existence; imperfectly formed,an incipient tumor,s
optic,of or relating to or resembling the eye,the optic (or optical) axis of the eye,a
falling,coming down freely under the influence of gravity,falling rain,s
forever,for a limitless time,no one can live forever,r
current,a flow of electricity through a conductor,the current was measured in amperes,n
disposable,free or available for use or disposition,every disposable piece of equipment was sent to the fire,a
medium,an intervening substance through which something is achieved,the dissolving medium is called a solvent,n
factually,as a fact or based on fact,"they learn much, factually, about the problems of retirement and provision for old age, and, psychologically, in the sharing of their thoughts on retirement",r
panhandle,a relatively narrow strip of land projecting from some larger area,Wheeling is located in the northern panhandle of West Virginia,n
selectively,by selection; in a selective manner,we choose our students very selectively,r
truncate,terminating abruptly by having or as if having an end or point cut off,a truncate leaf,s
luxe,elegant and sumptuous,a deluxe car,s
refined,freed from impurities by processing,refined oil,a
acknowledged,recognized or made known or admitted,the acknowledged leader of the community,a
out-of-the-way,out of the ordinary,out-of-the-way information,s
earned,gained or acquired; especially through merit or as a result of effort or action,earned income,a
nasty,disgustingly dirty; filled or smeared with offensive matter,a nasty pigsty of a room,s
sappy,abounding in sap,sappy maple trees,s
low,less than normal in degree or intensity or amount,low prices,a
double-edged,capable of being interpreted in two usually contradictory ways,double-edged praise,s
resistant,able to tolerate environmental conditions or physiological stress,the new hybrid is more resistant to drought,s
blood-and-guts,marked by great zeal or violence,real blood-and-guts fiction,s
leadership,the ability to lead,he believed that leadership can be taught,n
thread,the connections that link the various parts of an event or argument together,he lost the thread of his argument,n
significance,a meaning that is not expressly stated but can be inferred,the significance of his remark became clear only later,n
inoffensive,not causing anger or annoyance,inoffensive behavior,a
hunger,strong desire for something (not food or drink),hunger for affection,n
definitive,of recognized authority or excellence,the definitive work on Greece,s
allegedly,according to what has been alleged,he was on trial for allegedly murdering his wife,r
operator,someone who owns or operates a business,who is the operator of this franchise?,n
neutering,the sterilization of an animal,they took him to the vet for neutering,n
lowly,low or inferior in station or quality,a lowly parish priest,s
highlight,the most interesting or memorable part,the highlight of the tour was our visit to the Vatican,n
ennobling,tending to exalt,ennobling thoughts,s
malign,evil or harmful in nature or influence,believed in witches and malign spirits,a
movement,the act of changing location from one place to another,the movement of people from the farms to the cities,n
dully,without luster or shine,unpolished buttons glinted dully,r
predomination,the quality of being more noticeable than anything else,the predomination of blues gave the painting a quiet tone,n
distress,psychological suffering,the death of his wife caused him great distress,n
full-term,gestated for the entire duration of normal pregnancy,a healthy full-term baby,a
silvery,having the white lustrous sheen of silver,repeated scrubbings have given the wood a silvery sheen,s
plowed,(of farmland) broken and turned over with a plow,plowed fields,a
straggle,a wandering or disorderly grouping (of things or persons),a straggle of outbuildings,n
nominal,existing in name only,the nominal (or titular) head of his party,s
life,the period between birth and the present time,I have known him all his life,n
affairs,transactions of professional or public interest,news of current affairs,n
high,far up toward the source,he lives high up the river,r
tortious,of or pertaining to the nature of a tort,tortious acts,a
better-looking,pleasing in appearance especially by reason of conformity to ideals of form and proportion,better-looking than her sister,s
ball,a compact mass,a ball of mud caught him on the shoulder,n
freakish,changeable,freakish weather,s
bourgeois,conforming to the standards and conventions of the middle class,a bourgeois mentality,s
slop,(usually plural) weak or watery unappetizing food or drink,he lived on the thin slops that food kitchens provided,n
vicarious,suffered or done by one person as a substitute for another,vicarious atonement,s
offstage,concealed from public view or attention,offstage political meetings,s
insidiously,in a harmfully insidious manner,these drugs act insidiously,r
precariousness,being unsettled or in doubt or dependent on chance,the precariousness of his income,n
key,a generic term for any device whose possession entitles the holder to a means of access,a safe-deposit box usually requires two keys to open it,n
peripheral,related to the key issue but not of central importance,energy is far from a peripheral issue in the economy,s
need,a condition requiring relief,God has no need of men to accomplish His work,n
squarely,firmly and solidly,the bat met the ball squarely,r
eyeful,a strikingly beautiful woman,she was a statuesque redheaded eyeful,n
statement,a nonverbal message,a Cadillac makes a statement about who you are,n
dead,"devoid of activity; nothing ever happens here""",this is a dead town,s
charge,a person committed to your care,the teacher led her charges across the street,n
ball,round object that is hit or thrown or kicked in games,the ball rolled into the corner pocket,n
scented,filled or impregnated with perfume,scented soap,s
watchword,a slogan used to rally support for a cause,our watchword will be `democracy',n
inexplicable,incapable of being explained or accounted for,left the house at three in the morning for inexplicable reasons,a
barehanded,with bare hands,fought barehanded,s
disparagingly,in a disparaging manner,these mythological figures are described disparagingly as belonging `only to a story',r
rising,coming to maturity,the rising generation,s
Call,a special disposition (as if from a divine source) to pursue a particular course,he was disappointed that he had not heard the Call,n
fake,"not genuine or real; being an imitation of the genuine article; it's real synthetic fur""",it isn't fake anything,s
ill,resulting in suffering or adversity,it's an ill wind that blows no good,s
imperially,in an imperial manner,imperially decreed,r
imprint,an identification of a publisher; a publisher's name along with the date and address and edition that is printed at the bottom of the title page,the book was published under a distinguished imprint,n
expand,become larger in size or volume or quantity,his business expanded rapidly,v
zing,a brief high-pitched buzzing or humming sound,the zing of the passing bullet,n
fair,attractively feminine,the fair sex,s
outgoing,retiring from a position or office,the outgoing president,a
Washingtonian,of or relating to the people who run the federal government,Washingtonian politics as usual,a
breakdown,a cessation of normal operation,there was a power breakdown,n
effect,a phenomenon that follows and is caused by some previous phenomenon,the magnetic effect was greater when the rod was lengthwise,n
concatenation,a series of things depending on each other as if linked together,a complicated concatenation of circumstances,n
scrap,a small piece of something that is left over after the rest has been used,there was not a scrap left,n
snotty,(used colloquially) overly conceited or arrogant,"a snotty little scion of a degenerate family""-Laurent Le Sage",s
basilica,an early Christian church designed like a Roman basilica; or a Roman Catholic church or cathedral accorded certain privileges,the church was raised to the rank of basilica,n
valuable,having worth or merit or value,a valuable friend,s
regular,in accord with regular practice or procedure,took his regular morning walk,s
Caucasian,of or relating to the geographical region of Caucasia,Caucasian languages,a
judgmental,depending on judgment,a judgmental error,a
endless,having the ends united so as to form a continuous whole,an endless chain,s
passport,any quality or characteristic that gains a person a favorable reception or acceptance or admission,his wealth was not a passport into the exclusive circles of society,n
uncomfortably,in physical discomfort,"she lay on the couch, her body uncomfortably twisted",r
sharia,the code of law derived from the Koran and from the teachings and example of Mohammed,sharia is only applicable to Muslims,n
notch,a V-shaped indentation,mandibular notch,n
prototypal,representing or constituting an original type after which other similar things are patterned,she was the prototypal student activist,s
marginal,at or constituting a border or edge,the marginal strip of beach,s
theologically,in a theological manner,"he dealt with the problem of evil theologically, not philosophically",r
vitiation,nullification by the destruction of the legal force; rendering null,the vitiation of the contract,n
ratification,making something valid by formally ratifying or confirming it,the ratification of the treaty,n
casual,occurring or appearing or singled out by chance,seek help from casual passers-by,s
steep,of a slope; set at a high angle,a steep roof sheds snow,s
Italic,of or relating to the Italic languages,ancient Italic dialects,a
revitalized,restored to new life and vigor,a revitalized economy,s
political,involving or characteristic of politics or parties or politicians,a political machine,a
warm,(color) inducing the impression of warmth; used especially of reds and oranges and yellows,warm reds and yellows and orange,a
lazily,in a slow and lazy manner,I watched the blue smoke drift lazily away on the still air,r
sprawling,spreading out in different directions,sprawling handwriting,s
perinatal,occurring during the period around birth (5 months before and 1 month after),perinatal care,a
washy,having lost freshness or brilliance of color,washy colors,s
appointment,the job to which you are (or hope to be) appointed,he applied for an appointment in the treasury,n
assertively,in an assertive manner,"`I will take care of my own life,' she said assertively",r
figment,a contrived or fantastic idea,a figment of the imagination,n
actual,existing in act or fact,actual heroism,s
orbit,the (usually elliptical) path described by one celestial body in its revolution about another,he plotted the orbit of the moon,n
terminal,being or situated at an end,terminal buds on a branch,a
vitalize,give life to,The eggs are vitalized,v
more,(comparative of `many' used with count nouns) quantifier meaning greater in number,more than one,a
herculean,extremely difficult; requiring the strength of a Hercules,a herculean task,s
asexually,in an asexual manner,plants that reproduce asexually,r
energy,forceful exertion,he plays tennis with great energy,n
anew,again but in a new or different way,starting life anew in a fresh place,r
grade,the height of the ground on which something stands,the base of the tower was below grade,n
international,concerning or belonging to all or at least two or more nations,international waters,a
forgiving,inclined or able to forgive and show mercy,a kindly forgiving nature,a
all-metal,consisting completely of metal,all-metal airplanes,s
handwoven,made on a handloom,handwoven tablecloth,s
flare,a sudden outburst of emotion,she could not control her flare of rage,n
liberty,freedom of choice,liberty of worship,n
atypical,"deviating from normal expectations; somewhat odd, strange, or abnormal",atypical pneumonia,s
pun,a humorous play on words,I do it for the pun of it,n
courtly,refined or imposing in manner or appearance; befitting a royal court,a courtly gentleman,s
further,"in addition or furthermore; further, they should be here already""",stated further that he would not cooperate with them,r
invigorating,imparting strength and vitality,the invigorating mountain air,a
boarder,someone who forces their way aboard ship,stand by to repel boarders,n
chair,the officer who presides at the meetings of an organization,address your remarks to the chairperson,n
decorously,in a proper and decorous manner,he pretended to be pleased and applauded decorously,r
sectional,related or limited to a distinct region or subdivision of a territory or community or group of people,sectional tensions arose over slavery,s
coincidence,the temporal property of two things happening at the same time,the interval determining the coincidence gate is adjustable,n
halfway,at half the distance; at the middle,he was halfway down the ladder when he fell,r
antithetical,sharply contrasted in character or purpose,practices entirely antithetical to her professed beliefs,s
secluded,hidden from general view or use,a secluded romantic spot,s
infrared,the infrared region of the electromagnetic spectrum; electromagnetic wave frequencies below the visible range,they could sense radiation in the infrared,n
flexible,able to flex; able to bend easily,slim flexible birches,a
absolute,perfect or complete or pure,absolute silence,a
minor,of the younger of two boys with the same family name,Jones minor,s
now,at the present moment,the now-aging dictator,r
major,of the elder of two boys with the same family name,Jones major,s
syllabic,of or relating to syllables,syllabic accent,a
matchup,the pairing of people or things as for comparison or competition,we need a matchup of the best teachers with the neediest schools,n
gloomy,filled with melancholy and despondency,a gloomy silence,s
pestilential,likely to spread and cause an epidemic disease,"a pestilential malignancy in the air""- Jonathan Swift",s
seeded,sprinkled with seed,a seeded lawn,s
support,the act of bearing the weight of or strengthening,he leaned against the wall for support,n
tone,the general atmosphere of a place or situation and the effect that it has on people,a clergyman improved the tone of the meeting,n
refractory,not responding to treatment,a refractory case of acne,s
cultivated,marked by refinement in taste and manners,cultivated speech,s
economic,"of or relating to an economy, the system of production and management of material wealth",economic growth,a
arrangement,an orderly grouping (of things or persons) considered as a unit; the result of arranging,a flower arrangement,n
pledge,a deposit of personal property as security for a debt,his saxophone was in pledge,n
inflexibly,in an inflexible manner,"`You will--because you must!,' Madam told her inflexibly",r
hypervelocity,excessive velocity,the meteorites struck the earth with hypervelocity impacts,n
nisi,not final or absolute,the decree is nisi and not absolute,s
departed,dead,our dear departed friend,s
creation,the event that occurred at the beginning of something,from its creation the plan was doomed to failure,n
equipped,provided or fitted out with what is necessary or useful or appropriate,a ship equipped with every mechanical aid to navigation,a
fast,resistant to destruction or fading,fast colors,s
broken-backed,having the spine damaged,a broken-backed book,s
federally,by federal government,it's federally regulated,r
sacerdotal,of or relating to a belief in sacerdotalism,sacerdotal emphasis on the authority of priests,a
third,following the second position in an ordering or series,"he answered the first question willingly, the second reluctantly, and the third with resentment",n
eclat,enthusiastic approval,they gave him more eclat than he really deserved,n
reunification,the act of coming together again,monetary unification precipitated the reunification of the German state in October 1990,n
untanned,not converted to leather by a tanning agent,a whip made of untanned hide,a
turn,change to the contrary,the tides turned against him,v
ill,presaging ill fortune,ill predictions,s
unclouded,not made opaque or cloudy by sediment,the wine was unclouded,s
serve,(sports) a stroke that puts the ball in play,his powerful serves won the game,n
organizational,of or relating to an organization,organizational structure,a
scream,sharp piercing cry,her screaming attracted the neighbors,n
up,being or moving higher in position or greater in some value; being above a former position or level,he lay face up,a
frostily,without warmth or enthusiasm,"`Come in if you have to,' he said frostily",r
inescapably,by necessity,the situation slid inescapably toward disaster ,r
fallen,having fallen in or collapsed,a fallen building,s
frantic,marked by uncontrolled excitement or emotion,something frantic in their gaiety,s
compact,closely and firmly united or packed together,compact clusters of flowers,a
reading,the act of measuring with meters or similar instruments,he has a job meter reading for the gas company,n
ritual,of or relating to or employed in social rites or rituals,a ritual dance of Haiti,a
go-to-meeting,used of clothing,her Sunday-go-to-meeting clothes,s
debauched,unrestrained by convention or morality,Congreve draws a debauched aristocratic society,s
end,(football) the person who plays at one end of the line of scrimmage,the end managed to hold onto the pass,n
dominant,exercising influence or control,television plays a dominant role in molding public opinion,a
ardor,a feeling of strong eagerness (usually in favor of a person or cause),they were imbued with a revolutionary ardor,n
housecleaning,(figurative) the act of reforming by the removal of unwanted personnel or practices or conditions,more housecleaning is in store at other accounting firms,n
flighty,guided by whim and fancy,flighty young girls,s
drop-off,a change downward,there was a sharp drop-off in sales,n
domestically,with respect to the internal affairs of a government,"domestically, the president proposes a more moderate economic policy",r
labyrinthine,relating to or affecting or originating in the inner ear,labyrinthine deafness,a
unknown,not known,an unknown amount,a
startup,the act of setting in operation,repeated shutdowns and startups are expensive,n
love,a score of zero in tennis or squash,it was 40 love,n
able,having a strong healthy body,every able-bodied young man served in the army,s
huff,blow hard and loudly,he huffed and puffed as he made his way up the mountain,v
uncooperative,unwilling to cooperate,an uncooperative witness,a
blue,of the color intermediate between green and violet; having a color similar to that of a clear unclouded sky,a blue flame,s
collected,brought together in one place,the collected works of Milton,a
interreflection,reciprocal reflection between two reflecting surfaces,there was interreflection between the two surfaces of the lens,n
stunning,strikingly beautiful or attractive,stunning photographs of Canada's wilderness areas,s
ahead,at or in the front,staring straight ahead,r
defective,not working properly,a defective appliance,s
disgusted,having a strong distaste from surfeit,grew more and more disgusted,s
following,going or proceeding or coming after in the same direction,tried to outrun the following footsteps,a
biochemically,with respect to biochemistry,biochemically interesting phenomenon,r
anthophagous,feeding on flowers,some insects are anthophagous,s
persuasively,in a persuasive manner,this essay argues so persuasively...,r
naughty,suggestive of sexual impropriety,a naughty wink,s
cortically,with respect to the cortex,cortically induced arousal,r
dishonorably,in a dishonorable manner,he acted dishonorably,r
obscure,marked by difficulty of style or expression,those who do not appreciate Kafka's work say his style is obscure,s
hulking,of great size and bulk,three hulking battleships,s
turnoff,a side road where you can turn off,I missed the turnoff and went 15 miles out of my way,n
uncontaminated,not corrupted by contact or association,there is no culture uncontaminated by contact with the outside world,a
accounting,a convincing explanation that reveals basic causes,he was unable to give a clear accounting for his actions,n
true,accurately fitted; level,the window frame isn't quite true,s
pretty,(used ironically) unexpectedly bad,a pretty mess,s
shakeup,the imposition of a new organization; organizing differently (often involving extensive and drastic changes),top officials were forced out in the cabinet shakeup,n
paradisiacal,relating to or befitting Paradise,paradisiacal innocence,s
short,(primarily spatial sense) having little length or lacking in length,a short toss,a
temporarily,for a limited time only; not permanently,a power failure temporarily darkened the town,r
function,a formal or official social gathering or ceremony,it was a black-tie function,n
belly,the hollow inside of something,in the belly of the ship,n
embarrassment,extreme excess,an embarrassment of riches,n
alas,by bad luck,"alas, I cannot stay",r
immeasurable,beyond calculation or measure,immeasurable wealth,s
bombastically,in a grandiose manner,the building was bombastically spacious,r
obligatorily,in an obligatory manner,this rule applies obligatorily,r
oblivious,(followed by `to' or `of') lacking conscious awareness of,oblivious of the mounting pressures for political reform,s
well-adjusted,free from psychological disorder,a well-adjusted personality,s
transplant,the act of removing something from one location and introducing it in another location,too frequent transplanting is not good for families,n
member,an organization that is a member of another organization (especially a state that belongs to a group of nations),the library was a member of the interlibrary loan association,n
drooping,having branches or flower heads that bend downward,lilacs with drooping panicles of fragrant flowers,s
far,to a considerable degree; very much,felt far worse than yesterday,r
hispid,(of animals or plants) having stiff coarse hairs or bristles,plants with hispid stems,s
Dutch,the people of the Netherlands,the Dutch are famous for their tulips,n
mass,the common people generally,separate the warriors from the mass,n
falsely,in an insincerely false manner,"a seduction on my part would land us with the necessity to rise, bathe and dress, chat falsely about this and that, and emerge into the rest of the evening as though nothing had happened",r
continental,being or concerning or limited to a continent especially the continents of North America or Europe,continental Europe,a
pick,the quantity of a crop that is harvested,it was the biggest peach pick in years,n
attendant,following or accompanying as a consequence,attendant circumstances,s
gel,become a gel,"The solid, when heated, gelled",v
combination,a group of people (often temporary) having a common purpose,they were a winning combination,n
nosocomial,taking place or originating in a hospital,nosocomial infection,a
awkwardly,in an awkward manner,he bent awkwardly,r
poetic,characterized by romantic imagery,Turner's vision of the rainbow...was poetic,s
behind,in or into an inferior position,fell behind in his studies,r
stop,a consonant produced by stopping the flow of air at some point and suddenly releasing it,his stop consonants are too aspirated,n
nigga,(ethnic slur) extremely offensive name for a Black person,only a Black can call another Black a nigga,n
strung,that is on a string,keys strung on a red cord,a
spatiotemporal,of or relating to space and time together (having both spatial extension and temporal duration),spatiotemporal coherence,a
unexpected,not expected or anticipated,unexpected guests,a
valued,(usually used in combination) having value of a specified kind,triple-valued,s
treated,subjected to a physical (or chemical) treatment or action or agent,treated timbers resist rot,a
spirited,made lively or spirited,a spirited debate,s
foul,characterized by obscenity,foul language,s
tottering,unsteady in gait as from infirmity or old age,a tottering skeleton of a horse,s
color,the timbre of a musical sound,the recording fails to capture the true color of the original music,n
surmounted,having something on top,columns surmounted by statues,a
anonymous,not known or lacking marked individuality,anonymous bureaucrats in the Civil Service,s
male,for or pertaining to or composed of men or boys,the male population,s
antique,belonging to or lasting from times long ago,the antique fear that days would dwindle away to complete darkness,s
daybook,an accounting journal as a physical object,he bought a new daybook,n
horrifyingly,in a horrifying manner,he laughed horrifyingly,r
Pluto,a small planet and the farthest known planet from the sun; it has the most elliptical orbit of all the planets,Pluto was discovered by Clyde Tombaugh in 1930,n
fusillade,rapid simultaneous discharge of firearms,our fusillade from the left flank caught them by surprise,n
self-conscious,aware of yourself as an individual or of your own being and actions and thoughts,self-conscious awareness,s
bad,having undesirable or negative qualities,bad luck,a
refractory,temporarily unresponsive or not fully responsive to nervous or sexual stimuli,the refractory period of a muscle fiber,s
self-enclosed,of self-imposed enclosure or confinement,a self-enclosed Jewish cosmos,s
limited,not unlimited,a limited list of choices,s
price,value measured by what must be given or done or undergone to obtain something,what price glory?,n
sob,weep convulsively,He was sobbing inconsolably,v
distress,the seizure and holding of property as security for payment of a debt or satisfaction of a claim,Originally distress was a landlord's remedy against a tenant for unpaid rents or property damage but now the landlord is given a landlord's lien,n
precious,extremely,there is precious little time left,r
nitric,of or containing nitrogen,nitric acid,a
inclusive,including much or everything; and especially including stated limits,his concept of history is modern and inclusive,a
problem,a state of difficulty that needs to be resolved,she and her husband are having problems,n
noble,inert especially toward oxygen,noble metals include gold and silver and platinum,s
unsure,lacking or indicating lack of confidence or assurance,unsure of himself and his future,a
reflex,without volition or conscious control,sneezing is reflexive,s
inconsequent,lacking worth or importance,the quite inconsequent fellow was managed like a puppet,s
breeding,producing offspring or set aside especially for producing offspring,retained a few bulls for breeding purposes,s
three-cornered,involving a group or set of three,a three-cornered race,s
coarse-grained,not having a fine texture,coarse-grained wood,s
library,a room where books are kept,they had brandy in the library,n
arbitrary,based on or subject to individual discretion or preference or sometimes impulse or caprice,the arbitrary rule of a dictator,a
suppress,reduce the incidence or severity of or stop,this drug can suppress the hemorrhage,v
plentiful,existing in great number or quantity,rhinoceroses were once plentiful here,s
claim,an assertion that something is true or factual,evidence contradicted the government's claims,n
union,a set containing all and only the members of two or more given sets,let C be the union of the sets A and B,n
fellow,a person who is member of one's class or profession,he sent e-mail to his fellow hackers,n
sapient,acutely insightful and wise,a source of valuable insights and sapient advice to educators,s
Golan,a fortified hilly area between southern Lebanon and southern Syria,artillery on the Golan Heights can dominate a large area of Israel,n
colored,having color or a certain color; sometimes used in combination,colored crepe paper,a
rational,consistent with or based on or using reason,rational behavior,a
same,same in identity,this road is the same one we were on yesterday,a
hatless,not wearing a hat,stood hatless in the rain with water dripping down his neck,a
loosely,in a loose manner,a union of loosely federated states,r
comatose,relating to or associated with a coma,comatose breathing,a
deep,marked by depth of thinking,a deep allegory,s
unstated,not made explicit,his action is clear but his reason remains unstated,s
straight,in a forthright manner; candidly or frankly,told me straight out,r
bitter,marked by strong resentment or cynicism,bitter about the divorce,s
union,the occurrence of a uniting of separate parts,lightning produced an unusual union of the metals,n
less,comparative of little,she walks less than she should,r
assumption,the act of taking possession of or power over something,the Nazi assumption of power in 1934,n
coordinated,operating as a unit,a coordinated program,s
sphingine,resembling a sphinx,a sphingine smile,a
jaunty,"having a cheerful, lively, and self-confident air",walked with a jaunty step,s
peculiar,beyond or deviating from the usual or expected,the peculiar aromatic odor of cloves,s
nation,a federation of tribes (especially Native American tribes),the Shawnee nation,n
extension,a string of characters beginning with a period and followed by one or more letters; the optional second part of a PC computer filename,most BASIC files use the filename extension .BAS,n
critical,marked by a tendency to find and call attention to errors and flaws,a critical attitude,a
local,relating to or applicable to or concerned with the administration of a city or town or district rather than a larger area,local authorities,a
hydroplane,a speedboat that is equipped with winglike structures that lift it so that it skims the water at high speeds,the museum houses a replica of the jet hydroplane that broke the record,n
unashamedly,without shame,he unashamedly abandoned the project when he realized he would not gain from it,r
best,the supreme effort one can make,they did their best,n
unpleasant,"disagreeable to the senses, to the mind, or feelings",an unpleasant personality,a
so,to a very great extent or degree,my head aches so!,r
supportive,furnishing support or assistance,his family was supportive of his attempts to be a writer,a
roof,the inner top surface of a covered area or hollow space,I could see the roof of the bear's mouth,n
voluntary,of your own free will or design; done by choice; not forced or compelled,a voluntary confession,a
roofed,covered with a roof; having a roof as specified (often used in combination),palmleaf-roofed huts,a
vague,not clearly understood or expressed,"vague...forms of speech...have so long passed for mysteries of science""- John Locke",s
cross-purpose,a contrary aim,at cross-purposes,n
backstair,secret and sly or sordid,backstairs gossip,s
low-density,having low concentration,low-density urban areas,s
tall,great in vertical dimension; high in stature,tall ships,a
liven,make lively,let's liven up this room a bit,v
through,over the whole distance,this bus goes through to New York,r
light,designed for ease of movement or to carry little weight,light aircraft,s
rightfully,by right,baseball rightfully is the nation's pastime,r
unearthly,concerned with or affecting the spirit or soul,unearthly love,s
live,capable of erupting,the volcano is very much alive,s
stupendous,so great in size or force or extent as to elicit awe,a stupendous field of grass,s
luck,your overall circumstances or condition in life (including everything that happens to you),the luck of the Irish,n
stubby,short and blunt,a stubby pencil,s
common,of low or inferior quality or value,produced...the common cloths used by the poorer population,s
minutely,in minute detail,our inability to see everything minutely and clearly is due merely to the infirmity of our senses,r
cutting-edge,in accord with the most fashionable ideas or style,cutting-edge technology,s
Malthusian,of or relating to Thomas Malthus or to Malthusianism,Malthusian theories,a
diversified,having variety of character or form or components; or having increased variety,diversified manufacturing,a
wavelength,a shared orientation leading to mutual understanding,they are on the same wavelength,n
delicate,of an instrument or device; capable of registering minute differences or changes precisely,almost undetectable with even the most delicate instruments,s
chance,occurring or appearing or singled out by chance,a chance occurrence,s
wilderness,(politics) a state of disfavor,he led the Democratic party back from the wilderness,n
full-dress,suitable for formal occasions,a full-dress uniform,s
failure,an unexpected omission,the mechanic's failure to check the brakes,n
satisfaction,(law) the payment of a debt or fulfillment of an obligation,the full and final satisfaction of the claim,n
analytic,"using or skilled in using analysis (i.e., separating a whole--intellectual or substantial--into its elemental parts or basic principles)",an analytic approach,a
doleful,filled with or evoking sadness,the child's doleful expression,s
initiate,people who have been introduced to the mysteries of some field or activity,it is very familiar to the initiate,n
balance,harmonious arrangement or relation of parts or elements within a whole (as in a design),"in all perfectly beautiful objects there is found the opposition of one part to another and a reciprocal balance""- John Ruskin",n
fleeting,lasting for a markedly brief time,a fleeting glance,s
multiple-choice,offering several alternative answers from which the correct one is to be chosen; or consisting of such questions,a multiple-choice test,a
respecter,a person who respects someone or something; usually used in the negative,X is no respecter of Y,n
rate,the relative speed of progress or change,he works at a great rate,n
strained,showing signs of mental and emotional tension,her voice was strained as she asked the question,s
definite,precise; explicit and clearly defined,the wedding date is now definite,a
score,a number that expresses the accomplishment of a team or an individual in a game or contest,the score was 7 to 0,n
bent,a special way of doing something,he had a bent for it,n
letter,a strictly literal interpretation (as distinct from the intention),he followed instructions to the letter,n
heart,a playing card in the major suit that has one or more red hearts on it,he led the queen of hearts,n
verbal,relating to or having facility in the use of words,verbal aptitude,a
practice,translating an idea into action,a hard theory to put into practice,n
slow-moving,moving slowly,slow-moving cars,s
even,being level or straight or regular and without variation as e.g. in shape or texture; or being in the same plane or at the same height as something else (i.e. even with),an even floor,a
hierarchical,classified according to various criteria into successive levels or layers,it has been said that only a hierarchical society with a leisure class at the top can produce works of art,a
allurement,attractiveness,its allurement was its remoteness,n
finely,in tiny pieces,the surfaces were finely granular,r
swayer,a person who rules or commands,swayer of the universe,n
imprecise,not precise,the terms he used were imprecise and emotional,a
scarce,deficient in quantity or number compared with the demand,fresh vegetables were scarce during the drought,a
amber,a deep yellow color,an amber light illuminated the room,n
haste,the act of moving hurriedly and in a careless manner,in his haste to leave he forgot his book,n
presentation,the activity of formally presenting something (as a prize or reward),she gave the trophy but he made the presentation,n
particularistic,relating to particularism (exclusive interest in one group or class or sect etc.),a particularistic-seeming statement,a
next,immediately following in time or order,next in line,s
phlegmy,characterized by phlegm,a phlegmy discharge,a
white-collar,of or designating salaried professional or clerical work or workers,the coal miner's son aspired to a white-collar occupation as a bookkeeper,a
down-to-earth,sensible and practical,has a straightforward down-to-earth approach to a problem,s
bumpkinly,awkwardly simple and provincial,bumpkinly country boys,s
combatively,in a bellicose contentious manner,"`Don't trespass onto my property,' the neighbor shouted combatively",r
Amharic,related to or characteristic of or written in Amharic,the Amharic language,a
uncertain,not established beyond doubt; still undecided or unknown,changes of great if uncertain consequences,a
thought,a personal belief or judgment that is not founded on proof or certainty,what are your thoughts on Haiti?,n
creaky,having a rasping or grating sound,creaky stairs,s
unopposed,not having opposition or an opponent,unopposed military forces,a
plenty,(often followed by `of') a large number or amount or extent,it must have cost plenty,n
angry,severely inflamed and painful,an angry sore,s
unrepressed,not repressed,unrepressed hostilities,s
distressed,suffering severe physical strain or distress,"he dropped out of the race, clearly distressed and having difficulty breathing",s
scenario,a postulated sequence of possible events,planners developed several scenarios in case of an attack,n
spiritual,lacking material body or form or substance,"the vital transcendental soul belonging to the spiritual realm""-Lewis Mumford",s
chromatic,based on a scale consisting of 12 semitones,a chromatic scale,a
gluttonous,given to excess in consumption of especially food or drink,over-fed women and their gluttonous husbands,a
earlier,(comparative and superlative of `early') more early than; most early,a fashion popular in earlier times,s
classified,official classification of information or documents; withheld from general circulation,thousands of classified documents have now been declassified,a
cut,a step on some scale,he is a cut above the rest,n
aurally,with regard to sound or the ear,the new musical was visually and aurally appealing,r
whir,sound of something in rapid motion,whir of a bird's wings,n
unostentatious,not ostentatious,his unostentatious office,a
overhead,located or originating from above,an overhead crossing,a
indecent,offending against sexual mores in conduct or appearance,a bathing suit considered indecent by local standards,s
moonlight,the light of the Moon,moonlight is the smuggler's enemy,n
hermitic,characterized by ascetic solitude,his hermitic existence,s
mechanically,in a mechanical manner; by a mechanism,this door opens mechanically,r
stay,the state of inactivity following an interruption,the momentary stay enabled him to escape the blow,n
true,consistent with fact or reality; not false,the story is true,a
absolutely,totally and definitely; without question,he forced himself to lie absolutely still,r
